ENSEMBL,Symbol,NPYWT_ZT0_dup1,NPYWT_ZT4_dup1,NPYWT_ZT8_dup1,NPYWT_ZT12_dup1,NPYWT_ZT16_dup1,NPYWT_ZT20_dup1,NPYWT_ZT0_dup2,NPYWT_ZT4_dup2,NPYWT_ZT8_dup2,NPYWT_ZT12_dup2,NPYWT_ZT16_dup2,NPYWT_ZT20_dup2,NPYKO_ZT0_dup1,NPYKO_ZT4_dup1,NPYKO_ZT8_dup1,NPYKO_ZT12_dup1,NPYKO_ZT16_dup1,NPYKO_ZT20_dup1,NPYKO_ZT0_dup2,NPYKO_ZT4_dup2,NPYKO_ZT8_dup2,NPYKO_ZT12_dup2,NPYKO_ZT16_dup2,NPYKO_ZT20_dup2
ENSMUSG00000078920,Ifi47,4.033305273,3.507175635,3.587336108,3.794634761,4.083942277,3.558497514,3.767959203,4.0903241,3.622299591,4.008690031,4.096150301,4.538763545,3.580487521,3.391503486,3.744749875,4.265831465,3.679084898,3.939631337,3.699058681,3.264661711,4.109182953,3.688868344,3.52576943,3.504786097
ENSMUSG00000045932,Ifit2,9.157717586,8.976783198,5.305756584,5.592310171,8.315091767,8.775383264,8.497764588,8.791337229,6.813085545,5.003917565,9.027180427,7.629028971,9.369006074,7.526195646,7.630337498,7.074606605,9.015913532,8.931310066,8.160668448,7.300523591,6.721861332,7.271516696,8.660014495,9.210653746
ENSMUSG00000025491,Ifitm1,6.698314886,6.331907146,6.318412216,6.577634356,6.212963992,7.004373364,6.849835913,5.963222925,5.844816535,6.485377546,6.256858737,5.929099854,6.064589867,6.173533266,6.75951459,6.463746787,6.354856591,6.333398823,6.657810606,6.307828167,6.701783841,6.410328776,6.543242307,6.245811571
ENSMUSG00000025492,Ifitm3,4.676560499,4.40439764,4.304084084,3.904954995,3.77968051,4.562309316,5.174531812,4.115161649,5.018491826,5.519191093,5.832225389,5.034952201,5.764196962,5.629969695,5.363329154,4.479291891,4.86400519,3.977748849,3.97495703,4.459468453,5.662318544,5.943822963,4.464433315,4.244855313
ENSMUSG00000065968,Ifitm7,3.491631903,3.673391637,3.504603391,4.034846844,3.798035207,3.758100517,3.561864969,3.170435885,3.005153286,3.583288731,3.11823857,4.093040015,3.375983121,3.488587593,3.498902146,3.872624721,3.590556101,3.46122534,3.306672749,3.432900269,3.263306912,3.355526552,3.62764285,3.554738227
ENSMUSG00000078354,Ifna2,2.323303637,2.664409908,2.732488475,2.488451461,2.748317037,3.250084521,2.701383646,3.221495368,2.829180532,2.863471609,3.429097176,2.02661305,2.619605389,2.912740476,2.557321939,2.658611953,2.702505073,3.539825814,2.795873479,2.650637692,2.75665605,2.358095568,2.834885185,2.592502797
ENSMUSG00000022971,Ifnar2,10.01008085,10.27016519,10.10214372,9.884925363,10.03780356,10.36579748,10.25440313,10.11394975,9.865063641,10.06414357,9.922394121,10.41366673,10.14518428,9.604402447,10.07580372,9.610478732,9.717167717,9.762092992,10.33966427,9.92889612,10.12455654,10.73535598,9.827300509,10.20912192
ENSMUSG00000022965,Ifngr2,8.080855898,8.167028565,8.242058788,8.457126697,8.25599591,8.450192809,8.05966597,8.116265952,7.93548633,8.253163641,8.668121383,8.591617111,7.952927911,7.616765456,8.430971024,8.257336993,8.697753547,8.425219079,8.076452168,8.373924149,8.082802628,8.220708239,8.515561027,8.34763948
ENSMUSG00000096854,Ifnz,3.725222121,3.190235261,4.496404584,4.626651405,4.558067223,4.669880997,3.986179661,3.872361487,3.364223728,3.804522392,3.874888191,3.70803175,6.317658782,4.821093009,4.555722087,5.601779155,4.86400519,4.907221319,4.607227313,3.111025775,2.650637692,2.028051869,3.991897816,4.244855313
ENSMUSG00000001627,Ifrd1,5.229639841,4.86294523,5.4272835,4.879130654,5.475510323,5.370767818,5.538220044,5.496589308,5.875440097,5.214378078,5.452955518,5.227413891,5.367378789,5.141151652,5.494096008,5.371122342,5.49570584,5.710823828,5.548882104,5.069097538,5.570559368,5.879691607,5.179312407,5.563212566
