ENSEMBL,Symbol,WT_CT8_dup1,WT_CT8_dup2,WT_CT12_dup1,WT_CT12_dup2,WT_CT16_dup1,WT_CT16_dup2,WT_CT20_dup1,WT_CT20_dup2,WT_CT24_dup1,WT_CT24_dup2,WT_CT28_dup1,WT_CT28_dup2,KO_CT8_dup1,KO_CT8_dup2,KO_CT12_dup1,KO_CT12_dup2,KO_CT16_dup1,KO_CT16_dup2,KO_CT20_dup1,KO_CT20_dup2,KO_CT24_dup1,KO_CT24_dup2,KO_CT28_dup1,KO_CT28_dup2
ENSG00000182141,ZNF708,7.569453,7.4649545,7.878088,7.7872675,7.176777,8.192568,7.61395,7.8313335,8.1725615,7.802407,8.3001205,8.1403325,7.0435185,7.2335795,7.4139525,8.0083395,7.177972,7.3508945,7.517701,7.6451025,7.30398,7.4205195,7.7288805,7.2732025
ENSG00000242852,ZNF709,5.874442333,5.676897333,5.741595333,5.936685667,5.70742,5.939166667,5.751965,5.784422667,5.553513,5.723293,6.050128333,5.861829333,5.54009,5.579968333,5.496252,5.240954,5.649999333,5.545767,5.694959,5.567347333,5.933770667,5.406725333,5.630531,5.429053
ENSG00000197951,ZNF71,6.701433,6.728185,6.731406,6.678777,6.759082,6.622898,6.882247,6.666874,6.681573,6.65813,6.637907,6.721269,6.608291,6.755631,6.62929,6.746431,6.563878,6.503026,6.422082,6.603317,6.931487,6.904321,6.821267,6.673975
ENSG00000140548,ZNF710,5.1669545,5.432352,5.2779975,5.243575,5.273885,5.1450025,5.1990415,5.1130305,5.102388,5.407521,4.922986,5.0432555,5.5945135,5.090765,5.530808,5.0980105,5.2314455,5.2535725,5.531625,5.2729275,5.494994,5.226283,5.1338085,5.332515
ENSG00000147180,ZNF711,5.1538825,5.1253225,5.3472055,5.1100065,4.857012,5.040455,5.164607,4.928261,5.515996,4.935065,5.7050655,5.258392,5.278136,4.5952895,4.678169,5.0168275,4.8194975,4.7440525,4.586418,4.803898,5.052474,4.5548615,5.0155575,4.512769
ENSG00000178665,ZNF713,3.423277,3.3165905,3.343508,3.2920405,3.2369425,3.35137,3.281747,3.188923,3.47615,3.2052975,3.6376795,3.5810395,3.47177,3.2019695,3.2734935,3.4269255,3.8620425,3.5654525,3.3697185,3.4542405,3.5309575,3.4282785,3.31185,3.476733
ENSG00000182111,ZNF716,2.609469,2.548121,2.477499,2.758752,2.477074,2.654197,2.668593,2.485575,2.66589,2.428748,2.487826,2.414459,2.463976,2.547472,2.644725,2.600465,3.239327,2.558583,2.398113,2.577637,2.460047,2.831991,2.865445,2.487991
ENSG00000227124,ZNF717,7.971144,8.187498,8.218881,8.012516,7.996332,7.977805,8.099022,8.688813,8.364417,8.247867,8.530576,8.400683,7.590617,8.049265,7.243215,8.173297,7.361613,7.87161,7.462944,7.998331,7.875353,8.010476,7.961407,7.828685
ENSG00000250312,ZNF718,3.028701,4.021589,3.170161,4.055066,3.052046,4.095238,3.661252,4.325066,2.914851,3.667279,3.327604,3.536532,3.049483,4.093014,4.078725,3.981811,3.063038,3.517905,3.363972,3.347794,3.652653,3.024979,4.179774,3.200086
ENSG00000182903,ZNF721,6.386584667,5.964558667,6.326774333,5.978749,5.682341,6.457043667,6.097279667,6.077852667,6.383363667,6.044239667,6.727582,6.118780333,5.184869333,5.790301667,5.618812333,6.342689,5.170050667,5.919048,5.599634333,5.851192333,5.511147333,6.044131,5.852515667,5.862329333
ENSG00000214652,ZNF727,8.5955615,8.358887,8.404276,8.5757745,8.3008245,8.6941695,8.52267,8.5994055,8.581757,8.5338965,8.816051,8.6487725,8.0096315,8.116841,8.0543105,8.4386685,7.9062365,8.371219,8.2425035,8.5001045,8.182708,8.488216,8.4358125,8.241302
ENSG00000183850,ZNF730,2.622208,2.862462,3.351182,2.692937,3.242783,2.611026,3.661252,3.161704,3.016765,3.354756,3.439314,3.273299,3.806731,3.321269,3.352907,3.284096,4.885609,2.879327,2.77891,2.86285,3.233393,3.055078,3.390909,3.102967
ENSG00000237440,ZNF737,7.743106,7.736046,8.260194,7.773583,7.695661,7.971066,8.019829,7.831215,8.059405,7.785248,8.148353,7.651233,7.943332,7.604409,7.862697,7.784542,7.381771,7.749491,8.17393,7.73284,8.319085,7.675447,8.341401,7.144178
ENSG00000172687,ZNF738,7.952112,7.957607,7.8383,8.058326,7.94377,7.941481,7.663737,8.169882,7.467748,8.11999,7.704941,8.130561,7.908719,7.987616,7.825827,7.669938,8.209994,7.929926,7.681981,7.975067,8.2501,8.349866,7.955571,7.649034
ENSG00000185252,ZNF74,7.1285975,6.7195135,7.3001615,6.756873,7.0045435,6.7903025,7.215613,6.696276,7.1272265,6.86833,7.077248,6.7087615,6.899645,7.092638,6.816417,6.822644,6.402503,6.7235185,6.7782915,6.7193895,6.8950445,6.470692,6.9122645,6.918292
ENSG00000139651,ZNF740,8.322456,8.452159,8.178604,8.409789,8.509948,8.42643,8.499198,8.419578,8.145242,8.507467,8.129359,8.404817,8.503503,8.288668,8.317113,8.022849,8.364147,8.354395,8.221995,8.207311,8.742272,8.211625,8.564142,8.416332
ENSG00000181220,ZNF746,11.148042,11.202116,11.018729,11.275169,11.04289,11.116148,11.004811,11.141144,11.032071,11.162209,10.653538,11.109309,11.60953,11.44226,11.525443,11.497421,11.428114,11.3679,11.355944,11.357245,11.230262,11.13727,11.383854,11.321304
ENSG00000169955,ZNF747,10.7937535,10.9222145,10.8935495,10.8333405,10.888135,10.815796,11.084213,10.738361,10.7755505,10.9407495,10.7499085,10.9166565,10.771264,10.8735925,10.6606765,10.710943,10.7433115,10.901854,10.853449,10.871854,11.0883485,10.8718635,10.8726655,10.9245045
ENSG00000186230,ZNF749,7.556935,7.300525,7.527034667,7.422798333,7.269252,7.504178,7.39076,7.538935667,7.132712667,7.366909,7.590032333,7.532790333,6.970096667,7.31904,7.401820333,7.132338333,7.254294333,7.212393,7.411118,7.309403667,7.339987,7.311415667,7.529271333,7.282895
