ENSEMBL,Symbol,H_CT8,H_CT12,H_CT16,H_CT20,H_CT24,H_CT28,L_CT8,L_CT12,L_CT16,L_CT20,L_CT24,L_CT28
ENSG00000109819,PPARGC1A,3.899887,4.079337,3.9942385,3.85555,3.5119405,3.5377085,4.550789,4.453222,5.3317395,3.903152,3.75464,4.163028
ENSG00000155846,PPARGC1B,5.014048,5.147885,5.221591,5.215442,5.246293,5.026642,4.902727,4.645505,4.643487,4.85461,5.17441,5.091393
ENSG00000128059,PPAT,9.331453,9.3761665,9.4019335,9.5090615,9.283173,9.3497245,8.8817195,8.7191335,8.9425755,9.241899,9.19229,9.1473945
ENSG00000163736,PPBP,12.092702,11.383225,12.448096,11.899775,11.25792,11.904948,11.587597,12.144996,11.572916,12.43067,12.04369,11.892796
ENSG00000138621,PPCDC,8.13437,8.074882,8.214448,8.074237,8.3527855,8.023712,8.2057305,8.1207425,8.3415285,8.071859,8.3463225,8.213758
ENSG00000125534,PPDPF,9.473201,9.274837,9.721112,9.671607,9.572959,9.081306,9.486056,9.194365,9.227516,8.998991,9.734576,9.591438
ENSG00000086717,PPEF1,3.822207,3.66946,3.749337333,3.496860333,3.953002,3.740321667,3.812483,3.924858,3.823071667,3.606617333,4.208350667,3.854375667
ENSG00000156194,PPEF2,2.8081275,2.92078,2.7757715,2.7370465,2.783251,2.7036625,2.955438,3.1546535,3.119421,2.824853,2.7443595,2.8588045
ENSG00000131626,PPFIA1,7.4928335,7.5301345,7.601449,7.65205025,7.48255375,7.41921475,7.913796,8.0900385,7.75952,8.07061425,7.8424305,7.99190225
ENSG00000139220,PPFIA2,3.476762667,3.619808,3.876496333,3.691588667,3.712600333,3.754671333,4.061414667,3.612044667,3.976577333,3.552342667,3.789417,3.514748
ENSG00000177380,PPFIA3,3.37905,3.55473,3.590919,3.84932,3.636683,3.712811,3.79895,3.247328,3.540677,3.455692,3.461469,3.747888
ENSG00000143847,PPFIA4,6.28441,6.909121,6.583771,6.552676,6.943933,7.073402,7.210056,7.250955,7.471932,6.758501,7.189433,7.208832
ENSG00000110841,PPFIBP1,4.328435,4.616995333,4.410853,4.486556,3.767764333,4.477767333,4.913679667,4.873209333,4.494683,5.007788,5.027994,4.974066333
ENSG00000166387,PPFIBP2,8.459501,8.692206,8.625023,8.617945,8.988507,8.830101,8.318769,8.425096,8.209906,8.316558,8.430484,8.472192
ENSG00000134283,PPHLN1,9.665437,9.570001667,9.518247333,9.491936667,9.434608667,9.535961667,9.403505333,9.563681667,9.452955,9.576021,9.494462333,9.634589667
